model,dataset,loss
full,AST,0.85397655
full,AST,0.8866844
full,AST,0.6856891
full,AST,0.8205024
full,AST,0.74298173
full,AST,0.7167996
full,AST,0.8636378
full,AST,0.7087532
full,AST,0.77441907
full,AST,0.9549507
full,AST,0.5255439
full,AST,0.6457586
full,AST,0.7305482
full,AST,0.7980354
full,AST,0.8813783
full,AST,0.7797344
full,AST,0.7247392
full,AST,0.9180773
full,AST,0.6917095
full,AST,0.85115874
full,AST,0.72045445
full,AST,0.870813
full,AST,0.7640396
full,AST,0.53286535
full,AST,0.7981471
full,AST,0.93121856
full,AST,0.8200973
full,AST,0.56344116
full,AST,0.5433599
full,AST,0.76789194
full,AST,0.88491267
full,AST,0.40191782
full,AST,0.76867396
full,AST,0.66741943
full,AST,0.8028261
full,AST,0.8292512
full,AST,0.96575797
full,AST,0.56818193
full,AST,0.89924777
full,AST,0.7886915
full,AST,0.7671553
full,AST,0.7872013
full,AST,0.6002463
full,AST,0.8212607
full,AST,0.8150961
full,AST,0.93867034
full,AST,0.85435873
full,AST,0.6624084
full,AST,0.7360593
full,AST,0.86456
full,AST,0.8989024
full,AST,0.6769446
full,AST,0.8455118
full,AST,0.8596004
full,AST,0.8802018
full,AST,0.8957364
full,AST,0.833959
full,AST,0.9089321
full,AST,0.87112594
full,AST,0.9158075
full,AST,0.8996408
full,AST,0.95913845
full,AST,0.93114716
full,AST,0.61577064
full,AST,0.5652605
full,AST,0.49179924
full,AST,0.9612705
full,AST,0.65931785
full,AST,0.77663654
full,AST,0.58613867
full,AST,0.8919204
full,AST,0.882284
full,AST,0.6135036
full,AST,0.8745873
full,AST,0.82466155
full,AST,0.906454
full,AST,0.49057323
full,AST,0.82222074
full,AST,0.60986674
full,AST,0.8400583
full,AST,0.8718692
full,AST,0.92487645
full,AST,0.8173039
full,AST,0.9252334
full,AST,0.9085427
full,AST,0.4708354
full,AST,0.87409556
full,AST,0.83434576
full,AST,0.74354315
full,AST,0.6638305
full,AST,0.9351914
full,AST,0.7015834
full,AST,0.885203
full,AST,0.7541896
full,AST,0.8153788
full,AST,0.7777854
full,AST,0.75786483
full,AST,0.6819098
full,AST,0.72960585
full,AST,0.79690015
full,AST,0.94022655
full,AST,0.89397746
full,AST,0.8269926
full,AST,0.7991512
full,AST,0.5521947
full,AST,0.59721935
full,AST,0.8004237
full,AST,0.87684166
full,AST,0.9104098
full,AST,0.9483741
full,AST,0.8200658
full,AST,0.78388214
full,AST,0.80710876
full,AST,0.88129085
full,AST,0.71910036
full,AST,0.89279395
full,AST,0.80504036
full,AST,0.9271807
full,AST,0.6163483
full,AST,0.84006155
full,AST,0.8724069
full,AST,0.91200954
full,AST,0.78579307
full,AST,0.88706887
full,AST,0.7758278
full,AST,0.8714237
full,AST,0.7551246
full,AST,0.84355044
full,AST,0.90359145
full,AST,0.7198974
full,AST,0.63323545
full,AST,0.7867779
full,AST,0.82274675
full,AST,0.78110486
full,AST,0.89964056
full,AST,0.869777
full,AST,0.8868251
full,AST,0.97180533
full,AST,0.92575765
full,AST,0.8421152
full,AST,0.81526005
full,AST,0.915092
full,AST,0.50578356
full,AST,0.9256361
full,AST,0.8306094
full,AST,0.9154961
full,AST,0.70091045
full,AST,0.987009
full,AST,0.931883
full,AST,0.92951906
full,AST,0.92505455
full,AST,0.90568715
full,AST,0.68437743
full,AST,0.87753814
full,AST,0.7104375
full,AST,0.73342216
full,AST,0.75931907
full,AST,0.9534852
full,AST,0.8467267
full,AST,0.9041735
full,AST,0.8677429
full,AST,0.8443352
full,AST,0.9360851
full,AST,0.8007803
full,AST,0.74730754
full,AST,0.6099266
full,AST,0.5709388
full,AST,0.5441126
full,AST,0.7826966
full,AST,0.8043572
full,AST,0.92352426
full,AST,0.836591
full,AST,0.90037507
full,AST,0.86407477
full,AST,0.6020212
full,AST,0.7665039
full,AST,0.90409553
full,AST,0.7693142
full,AST,0.8083006
full,AST,0.85893625
full,AST,0.7564095
full,AST,0.7886869
full,AST,0.91231495
full,AST,0.8142027
full,AST,0.88700956
full,AST,0.9245349
full,AST,0.56679654
full,AST,0.9162385
full,AST,0.7409607
full,AST,0.770758
full,AST,0.7921814
full,AST,0.8961973
full,AST,0.84119225
full,AST,0.7244414
full,AST,0.29931438
full,AST,0.83050925
full,AST,0.92892873
full,AST,0.9272675
full,AST,0.7539154
full,AST,0.6998037
full,AST,0.86821693
full,AST,0.60114884
full,AST,0.92718005
full,AST,0.66133153
full,AST,0.87675697
full,AST,0.7733492
full,AST,0.69923306
full,AST,0.91369545
full,AST,0.9283004
full,AST,0.65756977
full,AST,0.93209577
full,AST,0.8343345
full,AST,0.3777097
full,AST,0.8657221
full,AST,0.74141365
full,AST,0.8907958
full,AST,0.88330334
full,AST,0.8267351
full,AST,0.8470983
full,AST,0.7451906
full,AST,0.81136525
full,AST,0.10902178
full,AST,0.8734962
full,AST,0.9004557
full,AST,0.7010913
full,AST,0.5002519
full,AST,0.85987353
full,AST,0.911731
full,AST,0.8565804
full,AST,0.6956247
full,AST,0.920856
full,AST,0.7270769
full,AST,0.85161775
full,AST,0.9633965
full,AST,0.96370816
full,AST,0.63402736
full,AST,0.9824812
full,AST,0.7226502
full,AST,0.9305758
full,AST,0.7114185
full,AST,0.9286938
full,AST,0.9708397
full,AST,0.86127794
full,AST,0.7751084
full,AST,0.66650534
full,AST,0.9266992
full,AST,0.68378633
full,AST,0.9467293
full,AST,0.8207382
full,AST,0.9363514
full,AST,0.6960697
full,AST,0.82369196
full,AST,0.92014587
full,AST,0.91504973
full,AST,0.8590067
full,AST,0.53703374
full,AST,0.72284746
full,AST,0.9228637
full,AST,0.6047835
full,AST,0.5636833
full,AST,0.8738463
full,AST,0.92951185
full,AST,0.77650917
full,AST,0.9079723
full,AST,0.87951446
full,AST,0.76199126
full,AST,0.27006114
full,AST,0.6770898
full,AST,0.8755094
full,AST,0.7609094
full,AST,0.92123175
full,AST,0.9362173
full,AST,0.93914634
full,AST,0.7115927
full,AST,0.8400508
full,AST,0.83823943
full,AST,0.85046756
full,AST,0.9667237
full,AST,0.8031038
full,AST,0.9000741
full,AST,0.7466872
full,AST,0.9114944
